Date,Dividends
2007-12-21,0.777
2008-09-25,0.656
2012-09-21,0.69
2017-03-21,1.005
2016-09-12,0.89
2009-03-26,0.544
2013-03-21,0.676
2017-06-22,1.017
2019-12-20,1.433
2009-06-23,0.454
2009-09-28,0.512
2017-09-19,1.187
2011-12-22,0.691
2013-06-21,0.743
2015-12-18,1.102
2007-06-22,0.598
2011-09-22,0.586
2015-09-18,0.959
2005-03-23,0.454
2020-09-28,1.31
2007-09-21,0.648
2020-06-26,1.435
2016-12-21,1.305
2008-03-27,0.627
2012-03-23,0.574
2016-03-18,1.015
2008-06-26,0.594
2008-12-26,0.717
2012-06-22,0.646
2012-12-21,0.946
2020-03-09,1.179
2016-06-20,0.959
2006-06-23,0.509
2010-09-23,0.558
2014-09-19,0.883
2019-03-20,1.456
2006-09-22,0.547
2019-06-26,1.389
2009-12-28,0.693
2013-12-23,0.92
2011-03-24,0.539
2019-09-25,1.303
2015-03-20,0.991
2017-12-22,1.192
2005-12-28,0.627
2007-03-23,0.576
2011-06-23,0.574
2015-06-19,0.909
2005-06-24,0.444
2013-09-20,0.793
2010-03-29,0.465
2018-06-27,1.166
2005-09-23,0.557
2018-03-23,1.091
2010-06-28,0.532
2006-03-17,0.516
2018-09-25,1.215
2014-03-21,0.785
2006-12-26,0.68
2014-12-17,1.034
2010-12-23,0.529
2018-12-14,1.281
2014-06-20,0.815
